GENESIS-Tabelle: 11111-040M
Gebietsfläche;;;;
- Gemeinden (Gebietsstand ab 01.01.2023) 1);;;;
Feststellung des Gebietsstandes;;;;
31.12.2024;;;;
;;Fläche in qm;Fläche in ha;Fläche in qkm
;;qm;ha;qkm
14;Freistaat Sachsen;18449885380;1844988,54;18449,89
145;  Chemnitz, NUTS 2-Region;6527969151;652796,92;6527,97
14511;    Chemnitz, Stadt;221027915;22102,79;221,03
14511000;      Chemnitz, Stadt;221027915;22102,79;221,03
14521;    Erzgebirgskreis;1827919539;182791,95;1827,92
14521010;      Amtsberg;23267794;2326,78;23,27
14521020;      Annaberg-Buchholz, Stadt;28151228;2815,12;28,15
14521035;      Aue-Bad Schlema, Stadt;36428091;3642,81;36,43
14521040;      Auerbach;8280551;828,06;8,28
14521060;      Bärenstein;5472267;547,23;5,47
14521080;      Bockau;19143610;1914,36;19,14
14521090;      Börnichen/Erzgeb.;15459985;1546,00;15,46
14521110;      Breitenbrunn/Erzgeb., Hochschulstadt;60002760;6000,28;60,00
14521120;      Burkhardtsdorf;21218978;2121,90;21,22
14521130;      Crottendorf;36424973;3642,50;36,42
14521140;      Deutschneudorf;8054394;805,44;8,05
14521150;      Drebach;32862390;3286,24;32,86
14521160;      Ehrenfriedersdorf, Stadt;15890046;1589,00;15,89
14521170;      Eibenstock, Stadt;112238844;11223,88;112,24
14521180;      Elterlein, Stadt;45740554;4574,06;45,74
14521200;      Gelenau/Erzgeb.;21104147;2110,41;21,10
14521210;      Geyer, Stadt;18560839;1856,08;18,56
14521220;      Gornau/Erzgeb.;19777784;1977,78;19,78
14521230;      Gornsdorf;4186407;418,64;4,19
14521240;      Großolbersdorf;22576119;2257,61;22,58
14521250;      Großrückerswalde;26654168;2665,42;26,65
14521260;      Grünhain-Beierfeld, Stadt;22253915;2225,39;22,25
14521270;      Grünhainichen;28722515;2872,25;28,72
14521280;      Heidersdorf;9505061;950,51;9,51
14521290;      Hohndorf;5249080;524,91;5,25
14521310;      Jahnsdorf/Erzgeb.;26225470;2622,55;26,23
