Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;ID0002__Bodenflaeche__ha
33141;Jährl.Erh.der Siedl.-u.Verkehrsfl.(tatsächl.Nutz.);STAG;Stichtag;31.12.2007;GEM50231;Gemeinden (Gebietsstand ab 01.01.2023);14;Freistaat Sachsen;ADV01S;AdV-Nutzungsarten: 1/10/100-er Positionen;;Insgesamt;1841809
33141;Jährl.Erh.der Siedl.-u.Verkehrsfl.(tatsächl.Nutz.);STAG;Stichtag;31.12.2007;GEM50231;Gemeinden (Gebietsstand ab 01.01.2023);14;Freistaat Sachsen;ADV01S;AdV-Nutzungsarten: 1/10/100-er Positionen;ADVTN110;GF, dav. Öffentliche Zwecke;4988
33141;Jährl.Erh.der Siedl.-u.Verkehrsfl.(tatsächl.Nutz.);STAG;Stichtag;31.12.2007;GEM50231;Gemeinden (Gebietsstand ab 01.01.2023);14;Freistaat Sachsen;ADV01S;AdV-Nutzungsarten: 1/10/100-er Positionen;ADVTN130;GF, dav. Wohnen;31286
33141;Jährl.Erh.der Siedl.-u.Verkehrsfl.(tatsächl.Nutz.);STAG;Stichtag;31.12.2007;GEM50231;Gemeinden (Gebietsstand ab 01.01.2023);14;Freistaat Sachsen;ADV01S;AdV-Nutzungsarten: 1/10/100-er Positionen;ADVTN140;GF, dav. Handel und Dienstleistung;5870
33141;Jährl.Erh.der Siedl.-u.Verkehrsfl.(tatsächl.Nutz.);STAG;Stichtag;31.12.2007;GEM50231;Gemeinden (Gebietsstand ab 01.01.2023);14;Freistaat Sachsen;ADV01S;AdV-Nutzungsarten: 1/10/100-er Positionen;ADVTN170;GF, dav. Gewerbe und Industrie;17590
33141;Jährl.Erh.der Siedl.-u.Verkehrsfl.(tatsächl.Nutz.);STAG;Stichtag;31.12.2007;GEM50231;Gemeinden (Gebietsstand ab 01.01.2023);14;Freistaat Sachsen;ADV01S;AdV-Nutzungsarten: 1/10/100-er Positionen;ADVTN250;GF, dav. Versorgungsanlagen;1066
33141;Jährl.Erh.der Siedl.-u.Verkehrsfl.(tatsächl.Nutz.);STAG;Stichtag;31.12.2007;GEM50231;Gemeinden (Gebietsstand ab 01.01.2023);14;Freistaat Sachsen;ADV01S;AdV-Nutzungsarten: 1/10/100-er Positionen;ADVTN260;GF, dav. Entsorgungsanlagen;601
33141;Jährl.Erh.der Siedl.-u.Verkehrsfl.(tatsächl.Nutz.);STAG;Stichtag;31.12.2007;GEM50231;Gemeinden (Gebietsstand ab 01.01.2023);14;Freistaat Sachsen;ADV01S;AdV-Nutzungsarten: 1/10/100-er Positionen;ADVTN270;GF, dav. Land- und Forstwirtschaft;3359
33141;Jährl.Erh.der Siedl.-u.Verkehrsfl.(tatsächl.Nutz.);STAG;Stichtag;31.12.2007;GEM50231;Gemeinden (Gebietsstand ab 01.01.2023);14;Freistaat Sachsen;ADV01S;AdV-Nutzungsarten: 1/10/100-er Positionen;ADVTN291;GF, dav. unbenutzt, darunter Bauplatz;8118
33141;Jährl.Erh.der Siedl.-u.Verkehrsfl.(tatsächl.Nutz.);STAG;Stichtag;31.12.2007;GEM50231;Gemeinden (Gebietsstand ab 01.01.2023);14;Freistaat Sachsen;ADV01S;AdV-Nutzungsarten: 1/10/100-er Positionen;ADVTN1-2;GF, dav. nicht weiter untergliedert;51369
