GENESIS-Tabelle: 46241-007Z
Straßenverkehrsunfälle: Unfälle mit Personenschaden oder;;;;;;;;
Sachschaden, Verunglückte - Gemeinden;;;;;;;;
(Gebietsstand ab 01.01.23) - Jahre;;;;;;;;
Statistik der Straßenverkehrsunfälle;;;;;;;;
;;;Unfälle insgesamt (o.so.Sachsch.unf.);Unfälle mit Personenschaden;Schwerwiegende Unfälle mit Sachschaden i.e.S.;Sonst. Sachsch.unfall unt.Einwirk.berausch.Mittel;Getötete;Verletzte
;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
14;Freistaat Sachsen;2024;17263;13343;3229;691;144;16721
145;  Chemnitz, NUTS 2-Region;2024;5681;3935;1500;246;40;5071
14511;    Chemnitz, Stadt;2024;1007;711;251;45;6;862
14511000;      Chemnitz, Stadt;2024;1007;711;251;45;6;862
14521;    Erzgebirgskreis;2024;1248;828;380;40;12;1151
14521010;      Amtsberg;2024;6;3;3;-;-;3
14521020;      Annaberg-Buchholz, Stadt;2024;82;60;20;2;1;79
14521035;      Aue-Bad Schlema, Stadt;2024;96;63;28;5;-;92
14521040;      Auerbach;2024;8;6;1;1;-;8
14521060;      Bärenstein;2024;7;6;1;-;-;9
14521080;      Bockau;2024;6;4;2;-;-;5
14521110;      Breitenbrunn/Erzgeb., Hochschulstadt;2024;23;12;9;2;2;16
14521120;      Burkhardtsdorf;2024;14;10;2;2;1;11
14521130;      Crottendorf;2024;17;12;5;-;1;12
14521140;      Deutschneudorf;2024;2;2;-;-;-;5
14521150;      Drebach;2024;8;7;1;-;-;9
14521160;      Ehrenfriedersdorf, Stadt;2024;25;19;6;-;-;33
14521170;      Eibenstock, Stadt;2024;24;14;10;-;-;15
14521180;      Elterlein, Stadt;2024;20;14;6;-;1;23
14521200;      Gelenau/Erzgeb.;2024;11;7;4;-;-;11
14521210;      Geyer, Stadt;2024;17;12;4;1;-;16
14521220;      Gornau/Erzgeb.;2024;7;6;1;-;-;7
14521230;      Gornsdorf;2024;2;1;1;-;-;1
14521240;      Großolbersdorf;2024;9;2;7;-;-;3
14521250;      Großrückerswalde;2024;11;9;2;-;-;16
14521260;      Grünhain-Beierfeld, Stadt;2024;34;19;13;2;-;23
14521270;      Grünhainichen;2024;10;8;2;-;-;10
