GENESIS-Tabelle: 46251-003Z
Kfz-Bestand: Bestand, Kfz-Arten(4);;;;;;;
- Gemeinden (GS ab 01.01.23);;;;;;;
- Stichtage: bis 2000 am 01.07., bis 2010 am 01.01.;;;;;;;
Statistik des Kfz - und Anhängerbestandes;;;;;;;
Kraftfahrzeugbestand (Anzahl);;;;;;;
;;;Kraftfahrzeugart;Kraftfahrzeugart;Kraftfahrzeugart;Kraftfahrzeugart;Kraftfahrzeugart
;;;Insgesamt;Pkw insgesamt;Lkw insgesamt;Zugmaschinen insgesamt;Krafträder, zwei-, drei- und leichte vierrädr. Kfz
14;Freistaat Sachsen;01.01.2010;2428237;2061040;162891;49983;136179
145;  Chemnitz, NUTS 2-Region;01.01.2010;971905;820009;65045;22146;57899
14511;    Chemnitz, Stadt;01.01.2010;134995;117974;8799;900;6296
14511000;      Chemnitz, Stadt;01.01.2010;134995;117974;8799;900;6296
14521;    Erzgebirgskreis;01.01.2010;242138;203546;15639;5327;16038
14521010;      Amtsberg;01.01.2010;2906;2399;171;.;239
14521020;      Annaberg-Buchholz, Stadt;01.01.2010;12934;10804;971;116;771
14521035;      Aue-Bad Schlema, Stadt;01.01.2010;13120;11516;730;172;618
14521040;      Auerbach;01.01.2010;1794;1546;77;.;131
14521060;      Bärenstein;01.01.2010;1563;1312;83;25;132
14521080;      Bockau;01.01.2010;1693;1384;123;.;127
14521090;      Börnichen/Erzgeb.;01.01.2010;759;593;49;.;86
14521110;      Breitenbrunn/Erzgeb., Hochschulstadt;01.01.2010;3967;3308;298;91;239
14521120;      Burkhardtsdorf;01.01.2010;4483;3771;303;93;305
14521130;      Crottendorf;01.01.2010;2981;2462;241;76;189
14521140;      Deutschneudorf;01.01.2010;801;639;92;.;44
14521150;      Drebach;01.01.2010;4126;3276;316;156;344
14521160;      Ehrenfriedersdorf, Stadt;01.01.2010;3109;2658;211;32;186
14521170;      Eibenstock, Stadt;01.01.2010;4739;4068;291;.;275
14521180;      Elterlein, Stadt;01.01.2010;2355;1846;187;120;187
14521200;      Gelenau/Erzgeb.;01.01.2010;3019;2608;159;34;205
14521210;      Geyer, Stadt;01.01.2010;2495;2131;155;43;153
14521220;      Gornau/Erzgeb.;01.01.2010;3056;2455;205;89;295
14521230;      Gornsdorf;01.01.2010;1466;1213;104;.;111
