"name","unfaelle","population","rate"
"Mühlental","13","1144","11.363636363636363636363636"
"Königstein/Sächs. Schw., Stadt","20","2062","9.699321047526673132880698"
"Burkau","24","2526","9.501187648456057007125891"
"Rathen, Kurort","3","327","9.174311926605504587155963"
"Hirschfeld","9","1008","8.928571428571428571428571"
"Großweitzschen","23","2630","8.745247148288973384030418"
"Waldhufen","19","2296","8.275261324041811846689895"
"Limbach","11","1367","8.0468178493050475493782"
"Schöpstal","18","2248","8.007117437722419928825623"
"Hartenstein, Stadt","35","4399","7.956353716753807683564446"
