name,cars_pkw,unfaelle
Wermsdorf,3174,15
"Zwönitz, Stadt",7479,35
"Lichtenstein/Sa., Stadt",6563,19
Königswalde,1341,7
"Meerane, Stadt",8167,37
Neschwitz,1559,2
Burkau,1887,24
"Schöneck/Vogtl., Stadt",2217,9
Neuhausen/Erzgeb.,1587,3
"Werdau, Stadt",12249,53
"Jöhstadt, Stadt",1714,5
"Crimmitschau, Stadt",10627,40
"Lauter-Bernsbach, Stadt",5251,18
"Hohenstein-Ernstthal, Stadt",8287,50
"Annaberg-Buchholz, Stadt",11184,28
Reinsdorf,4780,13
Kreba-Neudorf,572,1
Parthenstein,2451,10
Hohendubrau,1267,1
Kubschütz,1808,13
Hainewalde,1044,3
"Delitzsch, Stadt",14077,88
Bärenstein,1356,6
Trossin,897,3
Weinböhla,6474,24
"Frankenberg/Sa., Stadt, Garnisonsstadt",8225,40
Cunewalde,2928,10
"Gröditz, Stadt",3659,12
Mockrehna,3185,10
Thiendorf,2637,6
Käbschütztal,1807,7
Spreetal,1240,11
Claußnitz,2071,9
"Frauenstein, Stadt",1746,7
"Waldenburg, Stadt",2544,11
Neukieritzsch,4018,16
"Bad Lausick, Stadt",5094,17
Beilrode,2551,17
Diera-Zehren,2169,11
Schönau-Berzdorf a. d. Eigen,1038,3
Großolbersdorf,1759,7
Niederwürschnitz,1646,13
Werda,1022,2
Malschwitz,3129,14
Weischlitz,4074,27
"Bad Muskau, Stadt",1955,8
Rossau,2347,11
Nebelschütz,790,5
Gohrisch,1237,3
Bennewitz,3155,10
"Flöha, Stadt",5847,29
Bernsdorf,1579,8
"Naunhof, Stadt",5555,19
"Lommatzsch, Stadt",2877,7
"Wilkau-Haßlau, Stadt",5783,16
"Borna, Stadt",10760,83
Tannenberg,709,1
Erlau,2165,10
Oppach,1502,5
Groß Düben,754,5
Haselbachtal,2643,7
Ottendorf-Okrilla,6482,34
"Königsbrück, Stadt",2924,14
Lohsa,3584,9
"Oschatz, Stadt",7774,47
"Stollberg/Erzgeb., Stadt",6707,39
"Treuen, Stadt",5106,17
Waldhufen,1633,19
Ohorn,1579,8
Burkhardtsdorf,3818,7
"Dahlen, Stadt",2555,6
Königswartha,2103,9
"Riesa, Stadt, Hochschulstadt",15239,87
Borsdorf,5064,24
Königshain-Wiederau,1737,6
Niederfrohna,1477,11
"Stadt Wehlen, Stadt",963,3
Klipphausen,7096,45
Leutersdorf,2197,13
"Wilthen, Stadt",2698,12
Wechselburg,1240,5
Horka,1144,4
"Radeberg, Stadt",11171,54
"Hohnstein, Stadt",1971,15
Weißenborn/Erzgeb.,1573,6
Deutschneudorf,576,1
Hartmannsdorf b. Kirchberg,881,6
"Kamenz, Stadt",10127,50
"Taucha, Stadt",9408,45
Bahretal,1487,16
"Weißwasser/O.L., Stadt",8242,40
Oberschöna,2169,8
Priestewitz,2116,10
Callenberg,3254,22
Mittelherwigsdorf,2324,5
Reinsberg,1920,6
Bertsdorf-Hörnitz,1305,11
Thallwitz,2302,9
"Breitenbrunn/Erzgeb., Hochschulstadt",3011,13
Bockau,1391,3
"Plauen, Stadt, Hochschulstadt",34848,198
"Markneukirchen, Stadt",4743,22
Gersdorf,2430,6
"Frohburg, Stadt",7960,25
Boxberg/O.L.,2773,16
Rietschen,1538,7
"Markkleeberg, Stadt",14170,71
"Wilsdruff, Stadt",10103,62
Hirschfeld,788,9
"Bernstadt a. d. Eigen, Stadt",2087,13
Niederau,2684,8
"Hoyerswerda, Stadt",17136,107
"Schirgiswalde-Kirschau, Stadt",3810,11
Tirpersdorf,1022,2
Taura,1512,4
Hohndorf,2185,3
"Leisnig, Stadt",5043,25
Kodersdorf,1659,15
Großweitzschen,1613,23
"Elstra, Stadt",1780,7
"Hartenstein, Stadt",2730,35
"Schlettau, Stadt",1438,11
"Zwenkau, Stadt",5945,22
"Torgau, Stadt",10257,69
Dreiheide,1467,4
"Ebersbach-Neugersdorf, Stadt",6746,36
Zettlitz,478,1
"Scheibenberg, Stadt",1230,6
Neumark,2018,6
"Schkeuditz, Stadt",11220,78
"Neusalza-Spremberg, Stadt",2026,8
Zschorlau,3260,8
"Netzschkau, Stadt",2409,8
"Elterlein, Stadt",1854,8
Reinhardtsdorf-Schöna,838,4
Lichtentanne,3968,10
Hirschstein,1337,8
Elsterheide,2558,18
"Kitzscher, Stadt",3018,3
"Altenberg, Stadt",4669,29
"Lößnitz, Stadt",4750,19
Rathmannsdorf,519,4
Krostitz,2876,17
"Grimma, Stadt",17730,103
Liebschützberg,1976,2
"Ehrenfriedersdorf, Stadt",2729,15
Krauschwitz i.d. O.L.,2147,10
Eichigt,884,3
"Dresden, Stadt",229637,2154
"Elsterberg, Stadt",2341,10
Hermsdorf/Erzgeb.,509,1
Rosenthal-Bielatal,1028,2
"Tharandt, Stadt",3189,14
"Mügeln, Stadt",3546,5
Langenbernsdorf,2398,8
Großrückerswalde,2197,5
Großharthau,1891,12
Dohma,1317,12
Bad Brambach,1110,9
Panschwitz-Kuckau,1250,4
Radibor,1991,8
"Glauchau, Stadt, Hochschulstadt",13322,58
Lichtenberg,1036,6
Auerbach,1510,4
"Zschopau, Stadt, Motorradstadt",5251,16
Jahnsdorf/Erzgeb.,3606,23
"Oberwiesenthal, Kurort, Stadt",1215,5
"Rötha, Stadt",3986,11
"Glashütte, Stadt",4219,22
Weißkeißel,853,6
Demitz-Thumitz,1673,7
Steinigtwolmsdorf,1833,8
"Bad Düben, Stadt",4671,24
Königsfeld,953,6
Stützengrün,2037,3
Cavertitz,1428,3
Schönbach,729,5
Drebach,3269,14
"Dohna, Stadt",3978,34
"Geringswalde, Stadt",2480,10
Mühlau,1562,4
"Grünhain-Beierfeld, Stadt",3615,11
"Markranstädt, Stadt",9959,32
"Hainichen, Stadt",5237,26
"Eilenburg, Stadt",8726,47
"Eibenstock, Stadt",4013,13
Olbersdorf,2489,7
"Seifhennersdorf, Stadt",2107,7
Crottendorf,2431,6
Lawalde,1237,6
Raschau-Markersbach,3065,12
"Dippoldiswalde, Stadt",8967,40
Striegistal,2984,16
"Görlitz, Stadt, Hochschulstadt",25833,160
Kreischa,2905,21
"Bad Elster, Stadt",2255,9
Rosenbach/Vogtl.,2769,17
"Oederan, Stadt",4936,22
"Freiberg, Stadt, Universitätsstadt",19464,134
"Weißenberg, Stadt",2007,21
St. Egidien,2130,14
"Böhlen, Stadt",3646,11
Markersdorf,2823,22
"Waldheim, Stadt",4857,20
Räckelwitz,672,2
"Groitzsch, Stadt",4480,18
Kottmar,4530,16
Mülsen,6972,16
"Bischofswerda, Stadt",6031,31
"Königstein/Sächs. Schw., Stadt",1210,20
Leubsdorf,2132,5
Röderaue,1680,7
Mildenau,2225,5
Lampertswalde,1617,7
Kriebstein,1393,8
Steina,1142,1
"Colditz, Stadt",5103,15
Bösenbrunn,761,2
Arnsdorf,2907,34
Theuma,733,2
"Muldenhammer, Erholungsort",1935,5
"Pegau, Stadt",3944,15
Oßling,1413,8
Grünbach,1008,4
"Klingenthal, Stadt",4742,13
Naundorf,1452,8
Vierkirchen,1121,7
Schönfeld,1231,12
Nünchritz,3398,20
Lichtenberg/Erzgeb.,1735,9
Glaubitz,1260,7
"Brandis, Stadt",6183,23
Löbnitz,1328,2
Hartmannsdorf,3016,14
"Wurzen, Stadt",8633,44
Grünhainichen,2101,11
Rammenau,862,5
Oberwiera,700,2
Göda,2043,17
"Sebnitz, Stadt",5194,26
Rackwitz,3160,20
"Geyer, Stadt",2153,6
Gornau/Erzgeb.,2637,5
Schmölln-Putzkau,1980,11
"Lugau/Erzgeb., Stadt",4874,12
"Großschirma, Stadt",3722,19
"Zwickau, Stadt, Hochschulstadt",48082,227
Gablenz,1061,6
"Sayda, Stadt",1004,9
"Dommitzsch, Stadt",1468,3
Dennheritz,888,5
Großschönau,3400,13
Mühlental,954,13
"Schneeberg, Stadt",7803,21
Triebel/Vogtl.,855,5
"Marienberg, Stadt",10366,31
Crinitzberg,1169,2
"Herrnhut, Stadt",3391,17
"Penig, Stadt",5140,28
Jesewitz,2108,12
Puschwitz,505,1
"Niesky, Stadt",5556,25
"Roßwein, Stadt",4247,18
"Wildenfels, Stadt",2294,6
Großschweidnitz,729,5
Stauchitz,1962,7
"Auerbach/Vogtl., Stadt",10889,40
"Lengenfeld, Stadt",4590,29
Quitzdorf am See,828,2
Wiedemar,3738,28
"Brand-Erbisdorf, Stadt",5626,33
"Lauta, Stadt",5007,29
Amtsberg,2383,3
Dorfhain,721,3
"Bad Schandau, Stadt",2067,23
Otterwisch,915,3
Niederdorf,927,7
Eppendorf,2452,10
Schönheide,2601,7
"Oelsnitz/Erzgeb., Stadt",6971,39
Fraureuth,3250,4
Mücka,692,3
Zschepplin,1939,9
Rosenbach,1022,5
"Pulsnitz, Stadt",4524,21
Arzberg,1163,6
Dürrröhrsdorf-Dittersbach,2880,7
"Coswig, Stadt",11479,59
"Wittichenau, Stadt",3684,18
Altmittweida,1422,6
Gelenau/Erzgeb.,2632,5
"Olbernhau, Stadt",6470,16
Trebendorf,530,3
Neukirchen/Erzgeb.,4654,14
"Falkenstein/Vogtl., Stadt",4793,20
Heidersdorf,507,1
"Pirna, Stadt",21248,145
"Wolkenstein, Stadt",2486,17
Schönberg,630,2
"Bautzen, Stadt, Hochschulstadt",20627,193
"Löbau, Stadt",8740,60
Lichtenau,5020,29
Lohmen,1907,15
Großdubrau,2704,11
"Schwarzenberg/Erzgeb., Stadt",9747,34
"Rodewisch, Stadt",4100,23
Moritzburg,5587,33
"Rabenau, Stadt",2843,19
"Nossen, Stadt",6678,47
Halsbrücke,3440,11
"Rothenburg/O.L., Stadt, Hochschulstadt",2703,5
Großhartmannsdorf,1671,11
Heinsdorfergrund,1649,10
"Adorf/Vogtl., Stadt",3011,17
Sehmatal,3762,18
Großpösna,3824,30
"Neustadt in Sachsen, Stadt",7358,42
"Heidenau, Stadt",8680,37
"Leipzig, Stadt",234947,2017
"Großröhrsdorf, Stadt",5967,27
Neukirchen/Pleiße,2461,10
"Freital, Stadt",22083,100
Beiersdorf,757,2
Doberschau-Gaußig,2787,11
"Limbach-Oberfrohna, Stadt",14763,55
Ralbitz-Rosenthal,1097,7
Hartmannsdorf-Reichenau,680,1
Neuensalz,1522,15
Klingenberg,4387,16
Mulda/Sa.,1538,4
"Stolpen, Stadt",3577,22
Bobritzsch-Hilbersdorf,3651,12
"Belgern-Schildau, Stadt",4752,25
"Liebstadt, Stadt",834,4
Königshain,845,1
"Lunzenau, Stadt",2495,4
"Jonsdorf, Kurort",933,2
"Rochlitz, Stadt, Stadt des Roten Porphyr",3280,12
Remse,1184,5
Müglitztal,1319,8
Crostwitz,627,5
"Mittweida, Stadt, Hochschulstadt",7693,35
"Rathen, Kurort",193,3
"Radebeul, Stadt",19423,113
"Reichenbach im Vogtland, Stadt",11785,29
Lossatal,4029,22
"Augustusburg, Stadt",2895,10
"Burgstädt, Stadt",6416,14
Belgershain,2262,5
Langenweißbach,1640,5
"Strehla, Stadt",2158,6
"Pausa-Mühltroff, Stadt",3125,12
Oybin,824,3
Neißeaue,1126,4
Limbach,961,11
Thermalbad Wiesenbad,2102,16
Seelitz,1192,10
Dürrhennersdorf,608,2
Oderwitz,3138,15
"Ostritz, Stadt",1266,9
Rechenberg-Bienenmühle,1200,10
Laußnitz,1269,9
Schöpstal,1669,18
"Thalheim/Erzgeb., Stadt",3525,6
Hähnichen,799,6
"Bernsdorf, Stadt",4031,26
Obergurig,1393,2
"Regis-Breitingen, Stadt",2176,7
Neukirch,1083,7
"Oelsnitz/Vogtl., Stadt",6505,26
Neustadt/Vogtl.,655,5
"Großenhain, Stadt",10692,58
"Geithain, Stadt",3984,18
Laußig,2391,11
Hochkirch,1430,3
"Oberlungwitz, Stadt",4184,22
"Radeburg, Stadt",4687,29
Schönwölkau,1799,9
"Bad Gottleuba-Berggießhübel, Stadt",3566,28
Ellefeld,1562,8
Schleife,1728,9
Großpostwitz/O.L.,1829,11
"Döbeln, Stadt",13238,55
Elstertrebnitz,896,1
Machern,4631,11
"Zittau, Stadt, Hochschulstadt",12710,112
Steinberg,1661,7
Sohland a. d. Spree,4147,24
Ebersbach,2902,20
Elsnig,939,8
"Thum, Stadt",3130,14
Struppen,1595,9
"Trebsen/Mulde, Stadt",2336,12
Bannewitz,6765,30
"Reichenbach/O.L., Stadt",2970,13
"Johanngeorgenstadt, Stadt",2075,6
"Chemnitz, Stadt",126488,680
Schwepnitz,1609,6
"Seiffen/Erzgeb., Kurort",1273,1
Neukirch/Lausitz,3079,11
Doberschütz,2882,18
Wachau,2912,24
"Meißen, Stadt",14213,89
"Hartha, Stadt",3980,19
Gornsdorf,1226,1
"Kirchberg, Stadt",4881,14
"Pockau-Lengefeld, Stadt",4677,21
Niederwiesa,3178,9
Zeithain,3517,18
Pöhl,1654,10
