name,area_km2,blitzer,blitzer_pro_km2
"Hohenstein-Ernstthal, Stadt",18.58,4,0.215285252960172228202368
Hirschfeld,18.98,4,0.2107481559536354056902
"Radebeul, Stadt",26.16,5,0.191131498470948012232416
Großolbersdorf,22.58,4,0.177147918511957484499557
"Burgstädt, Stadt",25.88,4,0.154559505409582689335394
"Zwickau, Stadt, Hochschulstadt",102.58,14,0.136478845778904269838175
Bernsdorf,14.82,2,0.134952766531713900134953
"Leipzig, Stadt",297.8,40,0.13431833445265278710544
"Radeberg, Stadt",29.83,4,0.134093194770365403955749
Niederwiesa,16.39,2,0.122025625381330079316656
"Meerane, Stadt",19.81,2,0.100959111559818273599192
"Hoyerswerda, Stadt",94.99,9,0.094746815454258342983472
"Dresden, Stadt",328.48,30,0.09132976132489040428641
"Görlitz, Stadt, Hochschulstadt",67.53,6,0.088849400266548200799645
"Plauen, Stadt, Hochschulstadt",102.11,9,0.088140240916658505533248
Bannewitz,25.75,2,0.077669902912621359223301
"Pulsnitz, Stadt",26.76,2,0.07473841554559043348281
"Oberlungwitz, Stadt",14.68,1,0.068119891008174386920981
"Döbeln, Stadt",91.75,6,0.065395095367847411444142
"Lichtenstein/Sa., Stadt",15.47,1,0.064641241111829347123465
Nünchritz,31.28,2,0.063938618925831202046036
"Chemnitz, Stadt",221.03,14,0.063339818124236528977967
"Freiberg, Stadt, Universitätsstadt",48.31,3,0.062098944317946594907887
Stauchitz,32.47,2,0.061595318755774561133354
Großpostwitz/O.L.,16.48,1,0.060679611650485436893204
"Zittau, Stadt, Hochschulstadt",66.75,4,0.059925093632958801498127
"Pirna, Stadt",53.06,3,0.056539766302299283829627
"Oelsnitz/Vogtl., Stadt",53.66,3,0.055907566157286619455833
Machern,38.93,2,0.051374261494991009504238
"Kirchberg, Stadt",39.56,2,0.050556117290192113245703
