"name","area_km2","population","blitzer","unfaelle","blitzerdichte","unfallrate"
"Lichtenstein/Sa., Stadt","15.47","10739","1","19","0.064641241111829347123465","1.769252258124592606387932"
"Zschorlau","21.92","4969","0","8","0.0","1.609981887703763332662508"
"Schlettau, Stadt","21.22","2168","0","11","0.0","5.073800738007380073800738"
"Mügeln, Stadt","55.08","5440","0","5","0.0","0.919117647058823529411765"
"Schwarzenberg/Erzgeb., Stadt","46.31","15078","0","34","0.0","2.254940973603926250165804"
"Ebersbach-Neugersdorf, Stadt","20.45","10714","0","36","0.0","3.360089602389397050588016"
"Stauchitz","32.47","2901","2","7","0.061595318755774561133354","2.4129610479145122371596"
"Kodersdorf","42.54","2227","1","15","0.023507287259050305594734","6.735518634934889986528963"
"Wilthen, Stadt","17.04","4589","0","12","0.0","2.614948790586184353889736"
"Großenhain, Stadt","130.36","17969","1","58","0.007671064743786437557533","3.227781178696644220602148"
"Klipphausen","111.67","10247","4","45","0.035819826273842571863526","4.391529228066751244266615"
"Jonsdorf, Kurort","9.03","1395","0","2","0.0","1.433691756272401433691756"
"Malschwitz","93.27","4731","0","14","0.0","2.959205242020714436694145"
"Markkleeberg, Stadt","31.47","25360","0","71","0.0","2.799684542586750788643533"
"Seiffen/Erzgeb., Kurort","12.43","1789","0","1","0.0","0.558971492453884851872554"
"Mittweida, Stadt, Hochschulstadt","41.26","13670","0","35","0.0","2.560351133869787856620337"
"Kriebstein","31.08","1940","0","8","0.0","4.123711340206185567010309"
"Amtsberg","23.27","3554","0","3","0.0","0.844119302194710185706246"
"Jahnsdorf/Erzgeb.","26.23","5127","0","23","0.0","4.486054222742344450945972"
"Bad Düben, Stadt","45.8","7709","0","24","0.0","3.113244259955895706317291"
"Werda","13.59","1462","0","2","0.0","1.367989056087551299589603"
"Zwickau, Stadt, Hochschulstadt","102.58","86142","14","227","0.136478845778904269838175","2.635183766339300225209538"
"Seifhennersdorf, Stadt","19.12","3490","0","7","0.0","2.005730659025787965616046"
"Crostwitz","13.33","1032","0","5","0.0","4.844961240310077519379845"
"Hoyerswerda, Stadt","94.99","30493","9","107","0.094746815454258342983472","3.509002066047945430098711"
"Hohendubrau","45.54","1820","0","1","0.0","0.549450549450549450549451"
"Claußnitz","21.38","2855","0","9","0.0","3.152364273204903677758319"
"Elstertrebnitz","11.66","1314","0","1","0.0","0.761035007610350076103501"
"Cavertitz","69.17","2069","0","3","0.0","1.449975833736104398260029"
"Schleife","41.99","2499","0","9","0.0","3.601440576230492196878752"
"Neschwitz","46.01","2309","0","2","0.0","0.866175833694239930705933"
"Klingenberg","86.75","6513","0","16","0.0","2.456625211116229080300937"
"Großschweidnitz","7.47","1207","0","5","0.0","4.142502071251035625517813"
"Diera-Zehren","43.21","3194","1","11","0.023142791020597084008331","3.443957420162805259862242"
"Elstra, Stadt","32.63","2629","0","7","0.0","2.662609357170026626093572"
"Elterlein, Stadt","45.74","2598","2","8","0.043725404459991254919108","3.079291762894534257120862"
"Schkeuditz, Stadt","81.47","18911","0","78","0.0","4.124583575696684469356459"
"Königstein/Sächs. Schw., Stadt","27.05","2062","0","20","0.0","9.699321047526673132880698"
"Burkau","31.9","2526","0","24","0.0","9.501187648456057007125891"
"Gersdorf","9.69","3662","0","6","0.0","1.638448935008192244675041"
"Seelitz","31.22","1591","0","10","0.0","6.285355122564424890006285"
"Neukirch/Lausitz","21.3","4704","0","11","0.0","2.338435374149659863945578"
"Werdau, Stadt","65.62","20005","0","53","0.0","2.649337665583604098975256"
"Wilsdruff, Stadt","81.6","14510","2","62","0.02450980392156862745098","4.27291523087525844245348"
"Rothenburg/O.L., Stadt, Hochschulstadt","72.41","3893","0","5","0.0","1.284356537374775237605959"
"Altenberg, Stadt","145.89","7432","2","29","0.013708958804578792240729","3.902045209903121636167922"
"Auerbach","8.28","2258","0","4","0.0","1.771479185119574844995571"
"Großschönau","23.82","5044","0","13","0.0","2.577319587628865979381443"
"Rathen, Kurort","3.56","327","0","3","0.0","9.174311926605504587155963"
"Machern","38.93","6603","2","11","0.051374261494991009504238","1.665909435105255187036196"
"Großhartmannsdorf","32.2","2343","0","11","0.0","4.694835680751173708920188"
"Thermalbad Wiesenbad","24.21","3048","0","16","0.0","5.249343832020997375328084"
"Kamenz, Stadt","98.3","16800","0","50","0.0","2.97619047619047619047619"
"Chemnitz, Stadt","221.03","246778","14","680","0.063339818124236528977967","2.755513052216972339511626"
"Weißenborn/Erzgeb.","22.57","2390","0","6","0.0","2.51046025104602510460251"
"Weinböhla","19.02","10648","0","24","0.0","2.25394440270473328324568"
"Markersdorf","62.54","3666","1","22","0.015989766549408378637672","6.001091107474086197490453"
"Haselbachtal","37.5","3812","1","7","0.026666666666666666666667","1.836306400839454354669465"
"Taucha, Stadt","33.22","15829","0","45","0.0","2.842883315433697643565607"
"Schönheide","28.15","3961","0","7","0.0","1.767230497349154253976269"
"Gablenz","14.74","1523","0","6","0.0","3.939592908732764281024294"
"Zeithain","81.62","5488","0","18","0.0","3.279883381924198250728863"
"Lugau/Erzgeb., Stadt","22.29","7299","0","12","0.0","1.644060830250719276613235"
"Hartmannsdorf-Reichenau","28.36","1031","0","1","0.0","0.96993210475266731328807"
"Neukirchen/Pleiße","16.89","3740","0","10","0.0","2.673796791443850267379679"
"Weißkeißel","50.68","1141","0","6","0.0","5.258545135845749342681858"
