"name","population","cars_pkw","pkw_pro_1000_ew"
"Heinsdorfergrund","1881","1649","876.66135034556087187666135"
"Mühlental","1144","954","833.916083916083916083916084"
"Eichigt","1073","884","823.858341099720410065237651"
"Elsterheide","3235","2558","790.726429675425038639876352"
"Hirschfeld","1008","788","781.746031746031746031746032"
"Altmittweida","1820","1422","781.318681318681318681318681"
"Schöneck/Vogtl., Stadt","2838","2217","781.183932346723044397463002"
"Trossin","1152","897","778.645833333333333333333333"
"Theuma","943","733","777.306468716861081654294804"
"Tirpersdorf","1315","1022","777.186311787072243346007605"
"Triebel/Vogtl.","1102","855","775.862068965517241379310345"
"Markersdorf","3666","2823","770.049099836333878887070376"
"Neuensalz","1990","1522","764.824120603015075376884422"
"Bernsdorf","2077","1579","760.231102551757342320654791"
"Beiersdorf","996","757","760.040160642570281124497992"
"Mühlau","2069","1562","754.954084098598356694055099"
"Trebendorf","703","530","753.911806543385490753911807"
"Kubschütz","2411","1808","749.896308585649108253836582"
"Schönfeld","1643","1231","749.239196591600730371272063"
"Seelitz","1591","1192","749.214330609679446888749214"
