name,unfaelle,population,rate
Mühlental,13,1144,11.363636363636363636363636
"Königstein/Sächs. Schw., Stadt",20,2062,9.699321047526673132880698
Burkau,24,2526,9.501187648456057007125891
"Rathen, Kurort",3,327,9.174311926605504587155963
Hirschfeld,9,1008,8.928571428571428571428571
Großweitzschen,23,2630,8.745247148288973384030418
Waldhufen,19,2296,8.275261324041811846689895
Limbach,11,1367,8.0468178493050475493782
Schöpstal,18,2248,8.007117437722419928825623
"Hartenstein, Stadt",35,4399,7.956353716753807683564446
Bahretal,16,2076,7.70712909441233140655106
Neuensalz,15,1990,7.53768844221105527638191
Schönfeld,12,1643,7.303712720632988435788192
"Bad Schandau, Stadt",23,3226,7.129572225666460012399256
"Weißenberg, Stadt",21,3009,6.97906281156530408773679
Arnsdorf,34,4979,6.828680457923277766619803
Kodersdorf,15,2227,6.735518634934889986528963
Spreetal,11,1669,6.590772917914919113241462
Seelitz,10,1591,6.285355122564424890006285
Elsnig,8,1303,6.139677666922486569455104
Dohma,12,1978,6.066734074823053589484328
Markersdorf,22,3666,6.001091107474086197490453
Bad Brambach,9,1535,5.86319218241042345276873
Göda,17,2903,5.856011023079572855666552
Rechenberg-Bienenmühle,10,1710,5.847953216374269005847953
"Dohna, Stadt",34,5992,5.674232309746328437917223
Wachau,24,4235,5.667060212514757969303424
Niederdorf,7,1244,5.627009646302250803858521
Elsterheide,18,3235,5.564142194744976816074189
Bertsdorf-Hörnitz,11,1987,5.535983895319577252138903
"Sayda, Stadt",9,1644,5.474452554744525547445255
Kubschütz,13,2411,5.391953546246370800497719
Neustadt/Vogtl.,5,928,5.387931034482758620689655
Heinsdorfergrund,10,1881,5.316321105794790005316321
"Bad Gottleuba-Berggießhübel, Stadt",28,5299,5.284015852047556142668428
Weißkeißel,6,1141,5.258545135845749342681858
Großpösna,30,5708,5.255781359495444989488437
Thermalbad Wiesenbad,16,3048,5.249343832020997375328084
"Bautzen, Stadt, Hochschulstadt",193,37007,5.215229551165995622449807
Hähnichen,6,1151,5.212858384013900955690704
Niederwürschnitz,13,2499,5.202080832332933173269308
Niederfrohna,11,2130,5.164319248826291079812207
"Schlettau, Stadt",11,2168,5.073800738007380073800738
Schönbach,5,987,5.065856129685916919959473
Lohmen,15,2979,5.035246727089627391742195
Wiedemar,28,5562,5.034160373966199208917656
Laußnitz,9,1794,5.016722408026755852842809
Groß Düben,5,1015,4.92610837438423645320197
"Hohnstein, Stadt",15,3056,4.908376963350785340314136
Weischlitz,27,5512,4.898403483309143686502177
Crostwitz,5,1032,4.844961240310077519379845
Callenberg,22,4580,4.803493449781659388646288
Großhartmannsdorf,11,2343,4.694835680751173708920188
Ebersbach,20,4263,4.691531785127844241144734
St. Egidien,14,3000,4.666666666666666666666667
Rathmannsdorf,4,866,4.618937644341801385681293
Hartmannsdorf b. Kirchberg,6,1309,4.583651642475171886936593
Kreischa,21,4596,4.569190600522193211488251
"Nossen, Stadt",47,10330,4.549854791868344627299129
"Wolkenstein, Stadt",17,3738,4.547886570358480470840021
Triebel/Vogtl.,5,1102,4.537205081669691470054446
Doberschütz,18,3976,4.527162977867203219315895
"Zittau, Stadt, Hochschulstadt",112,24773,4.521051144391070923989828
Jahnsdorf/Erzgeb.,23,5127,4.486054222742344450945972
Königsfeld,6,1355,4.42804428044280442804428
"Rabenau, Stadt",19,4305,4.413472706155632984901278
Neukirch,7,1592,4.396984924623115577889447
Vierkirchen,7,1593,4.394224733207784055241682
Klipphausen,45,10247,4.391529228066751244266615
Pöhl,10,2289,4.368719965050240279598078
Rosenbach/Vogtl.,17,3897,4.362329997433923530921221
Nebelschütz,5,1155,4.329004329004329004329004
"Lengenfeld, Stadt",29,6731,4.308423711187045015599465
Müglitztal,8,1858,4.305705059203444564047363
"Wilsdruff, Stadt",62,14510,4.27291523087525844245348
Trebendorf,3,703,4.267425320056899004267425
Lichtenau,29,6824,4.249706916764361078546307
"Bernstadt a. d. Eigen, Stadt",13,3069,4.235907461713913326816553
"Bernsdorf, Stadt",26,6182,4.205758654157230669686186
Hirschstein,8,1918,4.171011470281543274244004
"Löbau, Stadt",60,14402,4.166088043327315650604083
Großschweidnitz,5,1207,4.142502071251035625517813
"Ostritz, Stadt",9,2173,4.141739530602853198343304
"Borna, Stadt",83,20092,4.130997411905235914791957
"Schkeuditz, Stadt",78,18911,4.124583575696684469356459
Kriebstein,8,1940,4.123711340206185567010309
Großpostwitz/O.L.,11,2669,4.121393780442113150992881
Beilrode,17,4137,4.109257916364515349286923
Krostitz,17,4139,4.107272287992268663928485
"Stolpen, Stadt",22,5373,4.09454680811464731062721
Großharthau,12,2952,4.06504065040650406504065
Ralbitz-Rosenthal,7,1724,4.060324825986078886310905
Moritzburg,33,8185,4.031765424557116676847892
Dennheritz,5,1242,4.025764895330112721417069
Leutersdorf,13,3269,3.976751300091771183848272
Jesewitz,12,3044,3.942181340341655716162943
Gablenz,6,1523,3.939592908732764281024294
Sohland a. d. Spree,24,6136,3.91134289439374185136897
"Adorf/Vogtl., Stadt",17,4350,3.908045977011494252873563
"Altenberg, Stadt",29,7432,3.902045209903121636167922
Boxberg/O.L.,16,4110,3.892944038929440389294404
"Oberlungwitz, Stadt",22,5658,3.888299752562743018734535
Bernsdorf,8,2077,3.851709195955705344246509
Rammenau,5,1299,3.849114703618167821401078
"Dresden, Stadt",2154,561464,3.83639912799395865095536
"Radeburg, Stadt",29,7560,3.835978835978835978835979
